URL,域名,注册日期,注册年限,注册商,分级,综合评分,PageRank,语言,目标国家/地区,标题,Meta描述,历史快照核对链接,Wayback时间线
https://optimhub.com/,optimhub.com,2015-08-05,11.08,OVH sas,C,65.0,4.6840353197419115e-09,英语,法国、德国,有,有,https://web.archive.org/web/2005/optimhub.com,https://web.archive.org/web/*/optimhub.com
https://www.tradedoubler.com//,https://www.tradedoubler.com//,1999-10-10,26.9,OVH sas,C,69.6,,英语,德国、西班牙、法国、美国,有,有,https://web.archive.org/web/2005/https://www.tradedoubler.com//,https://web.archive.org/web/*/https://www.tradedoubler.com//
http://www.linkhaitao.com,linkhaitao.com,2014-06-23,12.2,"Alibaba Cloud Computing (Beijing) Co., Ltd.",C,69.2,,英语,美国/加拿大/澳大利亚,有,有,https://web.archive.org/web/2005/linkhaitao.com,https://web.archive.org/web/*/linkhaitao.com
https://www.ean-search.org,ean-search.org,2008-04-01,18.42,Domeneshop AS dba domainnameshop.com,C,68.7,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/ean-search.org,https://web.archive.org/web/*/ean-search.org
https://www.ignite-vision.com/,ignite-vision.com,2007-01-12,19.64,"Register.com - Network Solutions, LLC",C,68.3,,英语,中国香港、中国、美国,有,无,https://web.archive.org/web/2005/ignite-vision.com,https://web.archive.org/web/*/ignite-vision.com
https://www.dealonlines.com/,dealonlines.com,2016-08-24,10.03,"GoDaddy.com, LLC",C,67.4,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/dealonlines.com,https://web.archive.org/web/*/dealonlines.com
https://www.bacaoo.com,bacaoo.com,2015-08-01,11.09,"Alibaba Cloud Computing (Beijing) Co., Ltd.",C,67.1,,英语,美国/加拿大/澳大利亚,有,有,https://web.archive.org/web/2005/bacaoo.com,https://web.archive.org/web/*/bacaoo.com
https://eliteculture.it.com/,eliteculture.it.com,1992-10-23,33.86,Intis Telecom Limited,C,66.1,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/eliteculture.it.com,https://web.archive.org/web/*/eliteculture.it.com
https://hoconinfo.com/,hoconinfo.com,2010-07-26,16.11,"GoDaddy.com, LLC",C,65.0,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/hoconinfo.com,https://web.archive.org/web/*/hoconinfo.com
https://www.fillymedia.com/,fillymedia.com,2015-09-15,10.97,"GoDaddy.com, LLC",C,65.0,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/fillymedia.com,https://web.archive.org/web/*/fillymedia.com
https://www.pinchme.com,pinchme.com,2001-04-05,25.41,"GoDaddy.com, LLC",C,63.0,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/pinchme.com,https://web.archive.org/web/*/pinchme.com
https://www.adspaymedia.com/,adspaymedia.com,2015-12-08,10.74,"GoDaddy.com, LLC",C,62.7,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/adspaymedia.com,https://web.archive.org/web/*/adspaymedia.com
https://allwomenstalk.com,allwomenstalk.com,2005-08-15,21.05,"GoDaddy.com, LLC",C,62.0,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/allwomenstalk.com,https://web.archive.org/web/*/allwomenstalk.com
https://proformics.com/,proformics.com,2013-10-23,12.86,"GoDaddy.com, LLC",C,61.1,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/proformics.com,https://web.archive.org/web/*/proformics.com
